category,title,packsize,price,price_per_unit,image
super-savers/,Monarc Indulge Gourmet Ice Cream 1L,ea,3.99,40c per 100ml,https://www.aldi.com.au/fileadmin/_processed_/4/2/csm_ALN3197_FEB_SSV_1x1_228x128_8_ddeae8990a.jpg
super-savers/,Urban Eats Turkish Gozleme 300g,300g,3.99,$1.33 per 100g,https://www.aldi.com.au/fileadmin/_processed_/0/9/csm_ALN3197_FEB_SSV_1x1_228x128_9_0e68ee0b8b.jpg
super-savers/,Urban Eats Roti Paratha 8pk/640g,8pk,2.99,47c per 100g,https://www.aldi.com.au/fileadmin/_processed_/3/4/csm_ALN3197_FEB_SSV_1x1_228x128_10_ec51f8b075.jpg
super-savers/,Urban Eats Vegetable Gyoza 750g,750g,7.99,$1.07 per 100g,https://www.aldi.com.au/fileadmin/_processed_/2/6/csm_ALN3197_FEB_SSV_1x1_228x128_11_b0c497a5c7.jpg
health/,Hedanol Paracetamol Capsule Shaped Tablets 20pk,N/A,69.0c,3c per tablet,https://www.aldi.com.au/fileadmin/_processed_/a/5/csm_ALN2364-7_HEALTH_1x1_228x128_9_c613cd50e7.jpg
health/,Essential Health Effervescents 15pk,ea,4.49,30c per tablet,https://www.aldi.com.au/fileadmin/_processed_/c/3/csm_ALN2364-7_HEALTH_1x1_228x128_10_586cc47052.jpg
health/,Essential Health Electrolytes 20pk,20pk,5.49,27c per tablet,https://www.aldi.com.au/fileadmin/_processed_/9/3/csm_ALN2853_HEALTH_1x1_228x128__9c3f4c0792.jpg
health/,Essential Health First Aid Strips Plastic 100pk / Fabric 50pk,ea,1.99,2c-4c per strip,https://www.aldi.com.au/fileadmin/_processed_/6/4/csm_ALN2364-7_HEALTH_1x1_228x128_11_a6de138e71.jpg
health/,Essential Health Meal Replacement Shakes,ea,1.99,$3.62 per 100g,https://www.aldi.com.au/fileadmin/_processed_/0/e/csm_ALN2364-7_HEALTH_1x1_228x128_12_2e957e4443.jpg
health/,Essential Health Protein Bar 30g,ea,1.49,$4.97 per 100g,https://www.aldi.com.au/fileadmin/_processed_/0/3/csm_ALN2364-7_HEALTH_1x1_228x128_13_8e8f2dd529.jpg
health/,Onset Chocolate Protein Bars 51g-57g,51g-57g,2.99,$5.86-$5.25 per 100g,https://www.aldi.com.au/fileadmin/_processed_/5/4/csm_ALN2853_HEALTH_1x1_228x128_3_2bdeaaea03.jpg
